source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @WhiteHouse: We are fighting the Coronavirus on every possible front—and we will achieve total victory with the help of the American peo…,4/1/2020 23:22,8995,0,TRUE,1.24549E+18
Twitter for iPhone,Upon information and belief Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens Iran will pay a very heavy price indeed!,4/1/2020 17:05,66622,326808,FALSE,1.2454E+18
Twitter for iPhone,Congress must pass the old and very strongly proven deductibility by businesses on restaurants and entertainment. This will bring restaurants and everything related back - and stronger than ever. Move quickly they will all be saved!,4/1/2020 16:36,33321,149861,FALSE,1.24539E+18
Twitter for iPhone,https://t.co/cawqG2DGXV,4/1/2020 0:32,12885,51419,FALSE,1.24515E+18
Twitter for iPhone,https://t.co/nQfccoKPj2,4/1/2020 0:32,14379,62898,FALSE,1.24515E+18
Twitter for iPhone,30 DAYS TO SLOW THE SPREAD#COVIDー19 https://t.co/p9j7kZsD7b https://t.co/RSUHRfT8If,3/31/2020 23:49,20150,71801,FALSE,1.24514E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/CurosT0chF,3/31/2020 21:30,9116,0,TRUE,1.2451E+18
Twitter for iPhone,Great work @AtlasAirWW thank you! https://t.co/90X4lRRHdM,3/31/2020 20:56,12529,51057,FALSE,1.24509E+18
Twitter for iPhone,Will be starting The White House news conference at 5:15 P.M. Eastern.,3/31/2020 20:27,13441,83919,FALSE,1.24509E+18
Twitter for iPhone,My proposal to the politically correct Automobile Companies would lower the average price of a car to consumers by more than $3500 while at the same time making the cars substantially safer. Engines would run smoother. Positive impact on the environment! Foolish executives!,3/31/2020 19:52,24810,113712,FALSE,1.24508E+18
Twitter for iPhone,My Administration is helping U.S. auto workers by replacing the failed Obama Emissions Rule. Impossible to satisfy its Green New Deal Standard; Lots of unnecessary and expensive penalties to car buyers!,3/31/2020 19:51,25212,117577,FALSE,1.24508E+18
Twitter for iPhone,Great news! American families will now be able to buy safer more affordable and environmentally friendly cars with our new SAFE VEHICLES RULE. Get rid of those old unsafe clunkers. Build better and safer American cars and create American jobs. Buy American!,3/31/2020 19:50,33180,188704,FALSE,1.24508E+18
